LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID75259,75259,9,49.811279296875,1.1829982078652603,10.862074454035573,0.0,9.938833236694336,2,0.65,1,,589.0387596899225,420.0,226.0,1987.0,75986.0,398.27933435398023,0.4253464114934937,0.8826904797393883
ID75581,75581,9,12.422372817993164,0.9679076246170313,10.754529162411458,0.0,139.1436653137207,28,0.65,1,,298.16279069767444,290.0,195.0,455.0,38463.0,67.00219104366037,0.21327549546150731,1.5645014455112507
ID75327,75327,9,28.103952407836914,1.075452916241146,10.754529162411458,0.0,49.69416618347168,10,0.65,1,,434.5968992248062,370.0,184.0,1025.0,56063.0,186.40536805658274,0.3211851858351559,1.1335743612768494
ID75391,75391,9,28.062618255615234,0.9679076246170313,10.754529162411458,0.0,74.54124927520752,15,0.65,1,,435.50387596899225,365.0,207.0,1049.0,56180.0,192.10190671355787,0.31761432967834946,1.0929546030800363
ID75455,75455,9,20.37871551513672,0.9679076246170313,10.754529162411458,0.0,99.38833236694336,20,0.65,1,,374.1162790697674,342.0,210.0,728.0,48261.0,123.80387892164975,0.27171791957730446,1.2913079948440855
ID75198,75198,9,41.56643295288086,1.075452916241146,10.862074454035573,0.0,24.84708309173584,5,0.65,1,,534.9457364341085,415.0,247.0,1532.0,69008.0,306.3197958750972,0.39461593599356054,0.9882905856992084
ID75170,75170,10,12.159639358520508,11.399800912156145,10.754529162411458,0.0,19.877666473388672,4,0.65,1,,286.31007751937983,262.0,147.0,642.0,36934.0,99.89649318557281,0.19452336315071986,0.9334552628728415
ID75258,75258,10,12.806868553161621,11.399800912156145,10.754529162411458,0.0,9.938833236694336,2,0.65,1,,280.4418604651163,251.0,139.0,690.0,36177.0,108.62621597253411,0.19354427727430187,0.837297865424915
ID75228,75228,10,12.414556503295898,11.29225562053203,10.646983870787343,0.0,14.908249855041504,3,0.65,1,,281.9767441860465,245.0,143.0,673.0,36375.0,112.76097958709768,0.18636541121587624,0.7856539222395239
ID75201,75201,11,22.26448631286621,10.324347995915,12.152617953524947,0.0,24.84708309173584,5,0.65,1,,326.91472868217056,239.0,145.0,998.0,42172.0,201.38613528367867,0.2808033437114179,0.7117946801257166
ID75329,75329,11,17.90432357788086,10.001712121042656,12.260163245149062,0.0,49.69416618347168,10,0.65,1,,284.4108527131783,211.0,144.0,828.0,36689.0,159.06787134364518,0.260298023698335,0.7385693932498211
ID75393,75393,11,21.97102928161621,10.431893287539115,12.045072661900832,0.0,74.54124927520752,15,0.65,1,,308.27906976744185,208.0,143.0,1086.0,39768.0,215.1107990934623,0.28977779387904556,0.6439646507859388
ID75584,75584,11,20.668556213378906,10.109257412666771,12.260163245149062,0.0,139.1436653137207,28,0.65,1,,297.4031007751938,207.0,136.0,1162.0,38365.0,214.2628540258672,0.2978325432506183,0.637062574736197
ID75458,75458,11,22.29261016845703,10.539438579163228,12.367708536773177,0.0,99.38833236694336,20,0.65,1,,313.0232558139535,236.0,131.0,1050.0,40380.0,205.53434419201542,0.29436118512350107,0.6927033056369937
ID75653,75653,11,21.13274383544922,10.431893287539115,12.045072661900832,0.0,159.02133178710938,32,0.65,1,,306.3565891472868,208.0,136.0,1123.0,39520.0,216.76495040890538,0.2717008619902821,0.6039127673327133
ID75529,75529,11,19.21938133239746,10.216802704290885,12.260163245149062,0.0,134.17424869537354,27,0.65,1,,290.1240310077519,211.0,137.0,912.0,37426.0,180.30421375032816,0.2786889059313994,0.7013949031428924
ID75213,75213,11,16.037452697753906,10.001712121042656,12.260163245149062,0.0,0.0,0,0.65,1,,291.7751937984496,235.0,137.0,807.0,37639.0,150.48615178761455,0.2104685615694435,0.6742415988474658
ID75279,75279,11,21.74660873413086,10.431893287539115,12.045072661900832,0.0,39.755332946777344,8,0.65,1,,311.2093023255814,220.0,139.0,1118.0,40146.0,216.17244542908495,0.2857154538355554,0.6398395735856126
ID75153,75153,11,17.76274299621582,10.001712121042656,12.260163245149062,0.0,4.969416618347168,1,0.65,1,,292.70542635658916,231.0,144.0,824.0,37759.0,160.04698544005635,0.24418746752302406,0.7178782894780324
ID75409,75409,11,22.6175479888916,10.431893287539115,12.152617953524947,0.0,84.48008251190186,17,0.65,1,,317.7984496124031,226.0,138.0,1033.0,40996.0,202.83565468151184,0.3019331531119647,0.7267074087546694
ID75601,75601,11,20.771085739135742,10.539438579163228,12.367708536773177,0.0,149.08249855041504,30,0.65,1,,297.5503875968992,206.0,135.0,1129.0,38384.0,214.63631890800738,0.2799627089523214,0.6064432616122866
ID75344,75344,11,20.988019943237305,10.324347995915,12.045072661900832,0.0,64.60241603851318,13,0.65,1,,306.5503875968992,225.0,136.0,1039.0,39545.0,203.81478882647312,0.28287354175776275,0.6632918359243234
ID75472,75472,11,21.559614181518555,10.431893287539115,12.260163245149062,0.0,104.35774898529053,21,0.65,1,,306.6434108527132,217.0,125.0,1046.0,39557.0,203.96739929649343,0.2910295107944918,0.6778033857777064
ID75666,75666,11,20.10489273071289,10.431893287539115,11.829982078652604,0.0,178.89899826049805,36,0.65,1,,327.51162790697674,265.0,162.0,919.0,42249.0,166.80537481406427,0.25163654800617635,0.7894818709716718
ID75541,75541,11,22.441133499145508,10.216802704290885,12.47525382839729,0.0,129.20483207702637,26,0.65,1,,305.5736434108527,209.0,135.0,1124.0,39419.0,215.8844010400082,0.32348720945360754,0.6919297280424236
ID75231,75231,11,20.753129959106445,9.894166829418541,11.722436787028489,0.0,14.908249855041504,3,0.65,1,,326.8062015503876,250.0,148.0,985.0,42158.0,189.03224251762,0.2818059680679146,0.7601727466350183
ID75679,75679,11,19.83682632446289,10.216802704290885,11.722436787028489,0.0,168.9601650238037,34,0.65,1,,315.51162790697674,237.0,143.0,1014.0,40701.0,191.24620569271556,0.2296990677322693,0.6163294588419531
ID75486,75486,11,21.142717361450195,10.431893287539115,12.152617953524947,0.0,94.41891574859619,19,0.65,1,,314.29457364341084,238.0,146.0,1056.0,40544.0,203.55874471132307,0.2751335333514063,0.6662925742577793
